ruta,bytes_antes,bytes_despues,bytes_ahorrados,dimensiones_antes,dimensiones_despues,calidad,estado
assets/productos/BEAUTY_CARE/cuidado_capilar/rolda_gel_fijador/rolda_gel_fijador_1.webp,17062,16852,210,500x500,500x500,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_0.webp,126602,122960,3642,1122x1402,1122x1402,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_1.webp,12808,12608,200,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_2.webp,3122,3002,120,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_3.webp,9254,9072,182,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_4.webp,8582,8368,214,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_5.webp,8984,8806,178,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_6.webp,2966,2900,66,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_capilar/tongole_linea_de_cuidado_capilar/tongole_linea_de_cuidado_capilar_7.webp,3752,3678,74,360x360,360x360,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_0.webp,12834,12450,384,554x554,554x554,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_coco/d_luchi_bronceador_coco_1.webp,92374,89316,3058,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_0.webp,12662,12332,330,554x554,554x554,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_en_gel/d_luchi_bronceador_en_gel_1.webp,91314,89214,2100,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_0.webp,15392,15006,386,800x800,800x800,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_bronceador_zanahoria/d_luchi_bronceador_zanahoria_1.webp,106674,103330,3344,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_gel_de_aloe_vera/d_luchi_gel_de_aloe_vera_0.webp,19044,18584,460,480x640,480x640,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_gel_de_aloe_vera/d_luchi_gel_de_aloe_vera_1.webp,102716,99596,3120,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_locion_de_oro/d_luchi_locion_de_oro_0.webp,16170,15850,320,471x424,471x424,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_locion_de_oro/d_luchi_locion_de_oro_1.webp,90698,87676,3022,667x1000,667x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_mantequilla_corporal/d_luchi_mantequilla_corporal_0.webp,68008,66144,1864,1200x1200,1200x1200,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/d_luchi_mantequilla_corporal/d_luchi_mantequilla_corporal_1.webp,83176,80044,3132,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vidan_dreams_bubakiss_mantequilla/vidan_dreams_bubakiss_mantequilla_0.webp,134420,130846,3574,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vidan_dreams_bubakiss_mantequilla/vidan_dreams_bubakiss_mantequilla_1.webp,26096,25234,862,768x768,768x768,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vidan_dreams_bubakiss_mantequilla/vidan_dreams_bubakiss_mantequilla_2.webp,32056,30940,1116,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_chispita_de_luna/vive_beauty_chispita_de_luna_0.webp,25974,25518,456,1200x1200,1200x1200,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_chispita_de_luna/vive_beauty_chispita_de_luna_1.webp,70504,68108,2396,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_crema_corporal_humectante/vive_beauty_crema_corporal_humectante_0.webp,122690,119986,2704,1086x1448,1086x1448,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_crema_corporal_humectante/vive_beauty_crema_corporal_humectante_1.webp,31894,30200,1694,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_crema_corporal_humectante/vive_beauty_crema_corporal_humectante_2.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_exfoliante_corporal_de_azucar/vive_beauty_exfoliante_corporal_de_azucar_0.webp,123238,120962,2276,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_exfoliante_corporal_de_azucar/vive_beauty_exfoliante_corporal_de_azucar_1.webp,40442,38628,1814,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_exfoliante_corporal_de_azucar/vive_beauty_exfoliante_corporal_de_azucar_2.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_gel_de_ducha/vive_beauty_gel_de_ducha_0.webp,35448,34528,920,1000x1000,1000x1000,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_gel_de_ducha/vive_beauty_gel_de_ducha_1.webp,73656,71224,2432,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_mantequilla_corporal/vive_beauty_mantequilla_corporal_0.webp,108356,105950,2406,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_mantequilla_corporal/vive_beauty_mantequilla_corporal_1.webp,36376,34942,1434,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_corporal/vive_beauty_mantequilla_corporal/vive_beauty_mantequilla_corporal_2.webp,31774,31284,490,800x1000,800x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/bioaqua_mascarillas_faciales/bioaqua_mascarillas_faciales_0.webp,148562,145602,2960,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/bioaqua_mascarillas_faciales/bioaqua_mascarillas_faciales_1.webp,39496,38392,1104,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/bioaqua_mascarillas_faciales/bioaqua_mascarillas_faciales_2.webp,44500,43790,710,750x1000,750x1000,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/eucerin_protector_solar_facial_toque_seco_spf_50/eucerin_protector_solar_facial_toque_seco_spf_50_0.webp,111014,108596,2418,1000x1500,1000x1500,80,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/eucerin_protector_solar_facial_toque_seco_spf_50/eucerin_protector_solar_facial_toque_seco_spf_50_1.webp,9972,9872,100,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/eucerin_protector_solar_facial_toque_seco_spf_50/eucerin_protector_solar_facial_toque_seco_spf_50_2.webp,31674,31542,132,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/eucerin_protector_solar_facial_toque_seco_spf_50/eucerin_protector_solar_facial_toque_seco_spf_50_3.webp,44914,44712,202,800x800,800x800,76,optimizada
assets/productos/BEAUTY_CARE/cuidado_facial/eucerin_protector_solar_facial_toque_seco_spf_50/eucerin_protector_solar_facial_toque_seco_spf_50_4.webp,22380,22254,126,800x800,800x800,76,optimizada
